T35,Net disbursements of official development assistance from donors,,,,,
414,Kuwait,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),304,Includes Kuwait Fund grants only.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
414,Kuwait,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),402,"Includes Kuwait Fund grants, State of Kuwait grants administered by Kuwait Fund as well as State of Kuwait grants.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
414,Kuwait,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),506,"Includes Kuwait Fund grants, State of Kuwait grants administered by Kuwait Fund as well as State of Kuwait grants.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),11,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),23,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),34,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
428,Latvia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),47,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
438,Liechtenstein,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
438,Liechtenstein,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),24,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
438,Liechtenstein,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
438,Liechtenstein,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),28,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),48,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),68,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),72,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
440,Lithuania,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),83,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),8,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),256,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),403,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),363,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),472,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),452,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),539,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.82,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.95,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.03,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
442,Luxembourg,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.03,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
470,Malta,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
470,Malta,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
470,Malta,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
470,Malta,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),53,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),608,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,136",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,226",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,115",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,357",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,726",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,292",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,359",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,288",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.71,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),3.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.67,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),8.91,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),3.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
528,Netherlands,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.47,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),66,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),123,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),274,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),342,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),442,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),555,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),530,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),681,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.41,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
554,New Zealand,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),184,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),574,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,244",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,794",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,372",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,298",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,196",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,673",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.97,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.56,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.41,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
578,Norway,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),92,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),483,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),381,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),255,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),316,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),504,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
158,Other non-specified areas,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),347,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),205,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),441,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),761,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),812,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),940,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.08,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
616,Poland,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.14,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),258,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),377,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),649,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),308,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),382,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),421,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),438,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.62,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
620,Portugal,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
634,Qatar,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),272,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
634,Qatar,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
